"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.0769195556641","85.5769195556641","80.288459777832","78.3653869628906","79.3269195556641","91.4691925048828","90.9952621459961","90.6103286743164","90.6103286743164","90.6103286743164","92.1182250976563","91.625617980957","92.1182250976563","92.61083984375","91.2621383666992","91.3043441772461","92.7536239624023","80.1932373046875","79.22705078125",
"Africa Eastern and Southern","AFE","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","0.497512429952621","","0.995024859905243","","9.45273590087891","14.4278602600098","15.384614944458","14.9038457870483","17.7884616851807","18.75","14.4230766296387","9.47867298126221","9.95260620117188","11.2676057815552","14.0845069885254","14.5539903640747","16.2561569213867","18.7192115783691","20.6896553039551","22.1674880981445","20.3883495330811","21.2560386657715","19.8067626953125","7.24637699127197","2.4154589176178",
"Africa Western and Central","AFW","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","9.45273590087891","","8.95522403717041","","12.93532371521","10.945273399353","11.5384616851807","12.0192308425903","11.5384616851807","14.4230766296387","15.865385055542","14.6919431686401","14.6919431686401","14.5539903640747","15.962441444397","15.962441444397","15.2709360122681","15.2709360122681","16.7487678527832","18.2266006469727","22.8155345916748","25.1207733154297","25.6038646697998","24.1545886993408","26.57004737854",
"Albania","ALB","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5","","38.8059692382813","","41.2935333251953","","48.2587051391602","50.2487564086914","49.038459777832","51.4423065185547","49.038459777832","51.9230766296387","53.3653831481934","54.028434753418","54.028434753418","52.1126747131348","50.7042236328125","51.1737098693848","50.2463035583496","52.709358215332","52.2167472839355","54.1871910095215","52.9126205444336","52.1739120483398","51.2077293395996","50.2415466308594","52.1739120483398",
"Andorra","AND","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.5","","97.5124359130859","","97.0149230957031","","95.5223846435547","94.0298538208008","94.711540222168","94.711540222168","92.3076934814453","92.3076934814453","93.2692337036133","92.4170608520508","92.890998840332","93.8967132568359","93.8967132568359","93.8967132568359","87.6847305297852","88.1773376464844","87.1921157836914","86.2068939208984","82.0388336181641","85.0241546630859","83.0917892456055","81.159423828125","85.5072479248047",
"Arab World","ARB","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","","33.8308448791504","","31.343282699585","","30.348258972168","22.8855724334717","26.4423084259033","25.9615383148193","20.6730766296387","23.0769233703613","22.115385055542","25.5924167633057","23.222749710083","23.474178314209","18.3098583221436","19.2488269805908","20.1970443725586","19.2118225097656","20.1970443725586","17.7339897155762","17.9611644744873","17.3913040161133","16.425121307373","16.425121307373","18.3574886322021",
"Argentina","ARG","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.5","","57.7114410400391","","61.1940307617188","","56.2189064025879","61.1940307617188","59.6153831481934","59.1346168518066","58.1730766296387","58.6538467407227","58.1730766296387","56.3981056213379","58.2938385009766","58.2159614562988","57.2769966125488","56.8075103759766","59.1133003234863","60.0985221862793","63.5467987060547","64.5320205688477","66.019416809082","65.2173919677734","65.7004852294922","65.2173919677734","62.8019332885742",
