,Country Name,Country Code,2017,2018,2019,2020,2021,2022,mean_gdp
0,Aruba,ABW,3092178770.94972,3276187709.49721,3395793854.7486,2610038938.54749,3126019385.47486,,3100043731.843576
1,Africa Eastern and Southern,AFE,1021043200767.01,1007196197587.41,1000834077088.55,927593321647.664,1081998139192.47,1169483734191.46,1034691445079.0939
2,Afghanistan,AFG,18896353155.8839,18418860354.4238,18904502222.2108,20143451705.7548,14583135236.5744,,18189260534.96954
3,Africa Western and Central,AFW,684898755570.717,767025741475.038,822538393591.447,786460035395.026,844459722152.991,877863284874.068,797207655509.8812
4,Angola,AGO,68972769395.6274,77792944471.9494,69309110145.7687,50241368243.6314,65685435100.4986,106713618735.434,73119207682.15158
5,Albania,ALB,13019726211.7369,15156424061.9815,15401826080.5183,15162734205.2462,17930565118.8176,18882095517.8768,15925561866.029549
6,Andorra,AND,3000162081.22356,3218419896.93327,3155149347.92151,2891001149.40074,3325145406.77109,3352032737.0391,3156985103.214878
7,Arab World,ARB,2637111521998.13,2843476105063.8,2868890920845.12,2533377484136.87,2928455523439.88,3557557256270.59,2894811468625.732
8,United Arab Emirates,ARE,390516804029.952,427049432157.931,417989721742.682,349473015330.157,415021590687.543,507534921715.453,417930914277.2863
9,Argentina,ARG,643628396190.388,524819898586.906,447754686715.081,385540406815.599,487227125385.641,632770284408.51,520290133017.0208
10,Armenia,ARM,11527458712.6187,12457940705.3088,13619290545.8131,12641698593.7908,13861409968.835,19502783987.8807,13935097085.70785
11,American Samoa,ASM,612000000.0,639000000.0,647000000.0,716000000.0,709000000.0,,664600000.0
12,Antigua and Barbuda,ATG,1467955555.55556,1604770370.37037,1675403703.7037,1416348148.14815,1560518518.51852,1757603703.7037,1580433333.3333333
13,Australia,AUS,1326467487376.42,1428266513154.48,1392218527563.26,1326944627876.87,1552703151616.01,1675418665067.09,1450336495442.355
14,Austria,AUT,417261151844.981,454991174096.094,444621176100.54,435225238000.43,480368403893.364,471400066091.247,450644535004.4427
15,Azerbaijan,AZE,40866632047.8414,47112479289.4186,48174235294.1176,42693000000.0,54825411764.7059,78721058823.5294,52065469536.60215
16,Burundi,BDI,2723586962.18686,2667182198.97925,2576518879.39881,2649680261.01097,2775798697.16485,3073414677.84385,2744363612.7640986
17,Belgium,BEL,502764720556.358,543299066998.892,535865692402.342,525213067068.319,594351961634.487,578604103123.349,546683101963.95795
18,Benin,BEN,12701655845.9622,14262408079.7005,14391686309.0337,15651545208.8771,17690083519.9322,17401746309.266,15349854212.128616
19,Burkina Faso,BFA,14106955625.3571,15890066209.8959,16178161666.1334,17933606212.6294,19737616003.022,18884619613.4388,17121837555.079432
20,Bangladesh,BGD,293754769935.148,321379163135.647,351238397263.802,373902196399.317,416264802185.166,460201000095.101,369456721502.3635
21,Bulgaria,BGR,59343060705.828,66399602077.1693,68911930627.8977,70404359049.232,84061395658.221,89040398406.3745,73026791087.45375
22,Bahrain,BHR,35473776595.7447,37802005319.1489,38653318085.1064,34621807712.766,39303403989.3617,44390820478.7234,38374188696.80851
